season,team,conference,offense.ppa,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.standardDowns.successRate,offense.passingDowns.ppa,offense.rushingPlays.ppa,offense.passingPlays.ppa,defense.ppa,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.havoc.total,defense.rushingPlays.ppa,defense.passingPlays.ppa
2025,Air Force,Mountain West,0.460494261138465,0.644067796610169,0.987614517010228,0.75,6,71.9,0.73469387755102,-0.211261962524072,0.386050820452338,0.825267120500486,0.0562859596246232,0.4,1.10475957096592,0.75,0.166666666666667,4.33333333333333,76.7,,-0.0775717831511518,0.190143702400398
2025,Akron,Mid-American,-0.225127580070759,0.308823529411765,1.00389071902709,0.666666666666667,0,71.4,0.428571428571429,-0.199212327841401,-0.0396316618235929,-0.236995851925076,0.0844847096796674,0.376623376623377,1.26932696176498,0.444444444444444,0.175,2,77.3,0.171,-0.0618344167605744,0.242667549074523
2025,Alabama,SEC,0.100224770719003,0.375,1.3664527886307,0.666666666666667,2.83333333333333,67,0.434782608695652,0.219905574278197,0.00254786671032423,0.158830913124211,0.290056628075925,0.380952380952381,1.61916134434458,0.75,0.166666666666667,5.16666666666667,72.5,,0.268752696774654,0.358229208239991
2025,App State,Sun Belt,0.209302257020681,0.533333333333333,0.968408403715244,0.7,4.25,71.5,0.59375,0.249195043313517,0.0742928954031837,0.317309746314679,0.0891230403930701,0.322033898305085,1.5411599431218,0.75,0.225806451612903,3.33333333333333,76.9,2.333,-0.112038959079326,0.413694959355961
2025,Arizona,Big 12,0.277664663405024,0.403846153846154,1.65546719127096,1,4.85714285714286,55.9,0.470588235294118,0.303329691230945,0.617319928451704,-0.11859981248277,-0.0405827905656665,0.32,1.2736692467818,0.5,0.28,1.5,77,,-0.13132105672921,0.00478634251610502
2025,Arizona State,Big 12,0.516080621450587,0.483870967741936,1.66350263498821,1,5.16666666666667,71.1,0.578947368421053,0.617313591170963,0.857300297975189,0.38029547336709,-0.00812809945693637,0.352112676056338,1.27406078433246,1,0.2,4,67.6,0.186,0.0810283770417886,0.00670880175421099
2025,Arkansas,SEC,0.407195495727562,0.493333333333333,1.44993573572976,1,6.5,68.2,0.549019607843137,0.650900171590296,0.0292842422583163,0.775161716210775,0.0505849810487191,0.363636363636364,1.11561116291882,0.5,0.28,2.33333333333333,79.5,0.222,-0.11866833991695,0.191629415186777
2025,Arkansas State,Sun Belt,0.331936308744497,0.486111111111111,1.49250679906639,0.428571428571429,5,66.4,0.46551724137931,1.27606191718237,-0.234152043383564,0.930372566708447,0.192603326018789,0.408450704225352,1.41564806600712,1,0.15625,4.25,78.2,0.889,-0.0529646611260155,0.394095007778629
2025,Army,American Athletic,0.085330280159402,0.407894736842105,1.1918622756041,0.75,3.42857142857143,67.5,0.469387755102041,0.498205558583708,-0.0299121310689389,0.595689529884912,0.221373513354007,0.311475409836066,1.55066681974593,1,0.272727272727273,4.8,69.9,0.23,0.232170494748395,0.208648499567765
2025,Auburn,SEC,0.288815913296794,0.557142857142857,0.890593189230116,1,6.2,73.9,0.610169491525424,0.466742475176205,0.26358679400727,0.367471402846487,0.303080897811387,0.380281690140845,1.88266866207494,1,0.210526315789474,4,73.9,0.113,0.0370321826508386,0.400291005273895
